Site,Part captée sur l'ensemble des ERC lauréats en IA période H2020-HEU (%),Nombre de projets ERC en IA période H2020-HEU
Université Paris sciences et lettres,10.1,7
Institut polytechnique de Paris,4.8,3
Site Aix-Marseille-Provence-Méditerranée,3.1,2
Paris-Est Sup,2.9,2
ComUE Lyon Saint-Étienne,2.6,2
Alliance Sorbonne Université,2.4,2
Université Côte dAzur,1.7,1
Université Paris-Saclay,1.5,2
Strasbourg/Lorraine et associés,1.4,1
Université Paris Cité,1.4,1
Université Grenoble Alpes,1.3,1
Convention de coordination en Nouvelle-Aquitaine,1.1,1
