author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Cordelia Schmid,98,Université Paris sciences et lettres,13.0,0.0,37.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,0,FR
Laurent Besacier,65,Université Grenoble Alpes,0.0,10.0,0.0,0.0,8.0,0.0,0.0,12.0,6.0,14.0,0.0,1.0,0.0,0.0,14.0,0,FR
Pierre Zweigenbaum,61,Université Paris-Saclay,0.0,3.0,0.0,0.0,2.0,1.0,0.0,17.0,3.0,20.0,0.0,0.0,0.0,0.0,15.0,0,FR
Francis Bach,48,Université Paris sciences et lettres,37.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,https://orcid.org/0000-0001-8644-1058,FR
Guillaume Wisniewski,48,Université Paris Cité,0.0,13.0,0.0,0.0,4.0,0.0,0.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0,0,FR
Matthieu Cord,47,Sorbonne Université,10.0,0.0,20.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-0627-5844,FR
Olivier Ferret,47,Université Paris-Saclay,0.0,5.0,0.0,0.0,1.0,4.0,0.0,2.0,3.0,11.0,0.0,2.0,0.0,0.0,19.0,https://orcid.org/0000-0003-0755-2361,FR
Cyril Grouin,45,Université Paris-Saclay,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,1.0,14.0,0.0,2.0,0.0,1.0,13.0,0,FR
Beno{\^\i}t Sagot,43,Université Paris Cité,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,18.0,0.0,0.0,0.0,0.0,10.0,0,FR
Sophie Rosset,43,Université Paris-Saclay,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,15.0,0.0,1.0,0.0,1.0,12.0,https://orcid.org/0000-0002-6865-4989,FR
