institution_country_code,year,institution_id,institution_display_name,institution_ror,institution_type,nb,id_paysage_init,id_paysage__init,id_paysage_corr,id_paysage_RGP,id_paysage,id_paysage_actuel,uo_lib
FR,2022,https://openalex.org/I1294671590,French National Centre for Scientific Research,02feahw73,government,15800,n2X5f,,,,n2X5f,n2X5f,Centre national de la recherche scientifique
FR,2021,https://openalex.org/I1294671590,French National Centre for Scientific Research,02feahw73,government,15215,n2X5f,,,,n2X5f,n2X5f,Centre national de la recherche scientifique
FR,2023,https://openalex.org/I1294671590,French National Centre for Scientific Research,02feahw73,government,15123,n2X5f,,,,n2X5f,n2X5f,Centre national de la recherche scientifique
FR,2020,https://openalex.org/I1294671590,French National Centre for Scientific Research,02feahw73,government,13925,n2X5f,,,,n2X5f,n2X5f,Centre national de la recherche scientifique
FR,2019,https://openalex.org/I1294671590,French National Centre for Scientific Research,02feahw73,government,12914,n2X5f,,,,n2X5f,n2X5f,Centre national de la recherche scientifique
FR,2018,https://openalex.org/I1294671590,French National Centre for Scientific Research,02feahw73,government,11939,n2X5f,,,,n2X5f,n2X5f,Centre national de la recherche scientifique
FR,2021,https://openalex.org/I4210145102,Institut Polytechnique de Paris,042tfbd02,education,3580,kYR50,,,kYR50,kYR50,kYR50,Institut polytechnique de Paris
FR,2022,https://openalex.org/I4210145102,Institut Polytechnique de Paris,042tfbd02,education,3292,kYR50,,,kYR50,kYR50,kYR50,Institut polytechnique de Paris
FR,2021,https://openalex.org/I154526488,Inserm,02vjkv261,government,3218,bZiTA,,,,bZiTA,bZiTA,Institut national de la santé et de la recherche médicale
FR,2023,https://openalex.org/I4210145102,Institut Polytechnique de Paris,042tfbd02,education,3167,kYR50,,,kYR50,kYR50,kYR50,Institut polytechnique de Paris
FR,2021,https://openalex.org/I277688954,University of Paris-Saclay,03xjwb503,education,2975,G2qA7,,,G2qA7,G2qA7,G2qA7,Université Paris-Saclay
FR,2022,https://openalex.org/I154526488,Inserm,02vjkv261,government,2962,bZiTA,,,,bZiTA,bZiTA,Institut national de la santé et de la recherche médicale
FR,2020,https://openalex.org/I4210145102,Institut Polytechnique de Paris,042tfbd02,education,2948,kYR50,,,kYR50,kYR50,kYR50,Institut polytechnique de Paris
FR,2023,https://openalex.org/I154526488,Inserm,02vjkv261,government,2909,bZiTA,,,,bZiTA,bZiTA,Institut national de la santé et de la recherche médicale
FR,2022,https://openalex.org/I277688954,University of Paris-Saclay,03xjwb503,education,2761,G2qA7,,,G2qA7,G2qA7,G2qA7,Université Paris-Saclay
FR,2019,https://openalex.org/I4210145102,Institut Polytechnique de Paris,042tfbd02,education,2703,kYR50,kYR50,DdW7n,kYR50,DdW7n,DdW7n,École polytechnique
