numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200710696A;INSTITUT DE CHIMIE DE LYON;ICL;2007;Structures Fédératives de Recherche;3;3;http://www.iclyon.fr/;43 Boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;PINEL,ANDRIOLETTI;Catherine,Bruno;Directrice adjointe,DIR;,,FR 3023,,FR 3023,,,,;Université Jean Monnet Saint-Etienne,Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Ecole Supérieure de Chimie Physique Electronique de Lyon,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Ecole Normale Supérieure de Lyon,Centre National d'Etude Spatiales,Arianegroup SAS;SAINT-ETIENNE,INSA LYON,LYON 1,CPE LYON,CNRS,INRAE,ENS LYON,CNES,ARIANEGROUP;UNIV,AUT_ETAB,UNIV,AUT_ETAB,EPST,EPST,AUT_ETAB,EPIC,PRIVE;Université,Autres établissements ESR,Université,Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Autres établissements ESR,Organismes de type EPIC,Société de droit privé française;0421095M,0690192J,0691774D,0693623N,0753639Y,,0694123G,0752743Z,;19421095100423,19690192000013,19691774400019,39189510900026,18008901303720,18007003901803,13000812100019,77566591200082,51903224700123;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;202123703C,201320570G,201119453B,200711921G,200711911W,200711890Y,200311854B,199911703E,199512045U,199411772B,197311954R;;;;;;4;Chimie;PE5;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710696A&PUBLIC=OK
200810700A;Institut de Chimie de Picardie FR 3085;;2008;Structures Fédératives de Recherche;3;3;;33 rue Saint Leu;80039;AMIENS CEDEX 1;POURCEAU,BECUWE,BECUWE;Gwladys,Matthieu,Matthieu;DIR-AJT,Directeur,Directeur;;Université Picardie Jules-Verne Amiens;AMIENS;UNIV;Université;0801344B;19801344300017;TUTE;établissement tutelle;;;;;;;4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810700A&PUBLIC=OK
201521769B;Simulation médicale guidée par les données;MIMESIS;2015;Unité propre;21;2;https://www.inria.fr/fr/mimesis;;67000;Strasbourg;COTIN;Stéphane;;,,;Centre national de la recherche scientifique,Institut national de la recherche en informatique et automatique,Université Strasbourg;CNRS,INRIA,U. STRASBOURG;EPST,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Université;0753639Y,0780491K,0673021V;18008901303720,18008904700013,13000545700010;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;198618246Y;;;;;5,9;Biologie, médecine et santé,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521769B&PUBLIC=OK
200812273K;CHIMIE ET INTERDISCIPLINARITE : SYNTHESE, ANALYSE, MODELISATION;CEISAM;2008;Unité mixte;22;2;http://www.sciences.univ-nantes.fr/CEISAM/ceisam.php;2 rue de la Houssinière;44322;NANTES CEDEX 3;BOULER;Jean-Michel;DIR;UMR 6230,UMR 6230;Centre national de la recherche scientifique,Nantes Université;CNRS,Nantes Université;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0442953W;18008901303720,13002974700016;TUTE,TUTE;établissement tutelle,établissement tutelle;200810705F;200810705F;200012107P,199612308A,199213365S;"fusion;fusion;fusion";"F;F;F";"2008;2008;2008";4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812273K&PUBLIC=OK
200410855L;GALILEE-OCA;GALILEEOCA;2000;Structures Fédératives de Recherche;3;3;http://www.oca.eu;Bd de l'Observatoire - CS 34229;06304;NICE CEDEX 4;MAZEVET;Stéphane;Directeur;UMS 2202,UAR 2202,UMS 2202;Observatoire de la Côte d'Azur Nice,Centre national de la recherche scientifique,Université Côte d'Azur;OBSV. COTE D'AZUR,CNRS,UniCA;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0060099A,0753639Y,0062205P;19061563300012,18008901303720,13002566100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;201220434N,201220431K,200816914E;;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410855L&PUBLIC=OK
200810868H;LUTIN;UMS2809;2008;Structures Fédératives de Recherche;3;3;http://www.lutin-userlab.fr;Cité des Sciences30 avenue Corentin Cariou;75019;PARIS;TIJUS;Charles;;UMS 2809,UMS 2809;Université de Technologie de Compiègne,Université Vincennes-Saint Denis Paris 8;UT COMPIEGNE,PARIS 8;UNIV,UNIV;Université,Université;0601223D,0931827F;19601223100169,19931827000014;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810868H&PUBLIC=OK
200711914Z;LABORATOIRE DE CHIMIE ET BIOLOGIE DES MÉTAUX;LCBM;2006;Unité mixte;22;2;;17 rue de Martyrs;38054;GRENOBLE CEDEX 9;ARTERO,RABILLOUD;Vincent,Thierry;,directeur-adjoint;UMR 5249,UMR 5249,UMR 5249;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes;CNRS,CEA,GRENOBLE ALPES;EPST,EPIC,UNIV;Organismes de type EPST,Organismes de type EPIC,Université;0753639Y,0912281K,0383546Y;18008901303720,77568501900587,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201923169F,201119551H;200311831B,198911776C,199511739L;"éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF";"2007;2007;2007";4,5;Chimie,Biologie, médecine et santé;"LS2;PE5;LS1";Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711914Z&PUBLIC=OK
200711931T;Laboratoire de Génie Electrique de Grenoble;G2Elab;2006;Unité mixte;22;2;http://www.g2elab.grenoble-inp.fr;21 rue des Martyrs;38031;GRENOBLE CEDEX 1;LEMBEYE,HADJ-SAID;Yves,Nouredine;DIR-ADJ,Directeur;UMR 5269,UMR 5269,UMR 5269;Institut polytechnique de Grenoble,Centre national de la recherche scientifique,Université Grenoble Alpes;GRENOBLE INP,CNRS,GRENOBLE ALPES;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0381912X,0753639Y,0383546Y;19381912500017,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;199511973R,199511961C;"fusion;fusion";"F;F";"2007;2007";2,8;Physique,Sciences pour l'ingénieur;"PE3;PE8";Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711931T&PUBLIC=OK
199512096Z;INSTITUT DE PHYSIQUE DES 2 INFINIS DE LYON;IP2I Lyon;1995;Unité mixte;22;2;http://www.ipnl.in2p3.fr;4 rue Enrico Fermi;69622;VILLEURBANNE CEDEX;MARTEAU,EALET;Jacques,Anne;Directeur adjoint,Directrice;UMR 5822,UMR 5822;Université Claude Bernard Lyon 1,Centre national de la recherche scientifique;LYON 1,CNRS;UNIV,EPST;Université,Organismes de type EPST;0691774D,0753639Y;19691774400019,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;201119599K,201119590A;;;;;2,3;Physique,Sciences de la terre et de l'univers, espace;"PE2;PE9;PE1;LS7";Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics,Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data,Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512096Z&PUBLIC=OK
199412070A;Histoire et Archéologie des Mondes Chrétiens et Musulmans Médiévaux;CIHAM;1995;Unité mixte;22;2;http://ciham.ish-lyon.cnrs.fr/;14 avenue Berthelot;69363;LYON CEDEX 07;CARRIER,AILLET,NICOUD,BURESI;Nicolas,Cyrille,Marylin,Pascal;Directeur adjoint,Directeur adjoint,Directrice,Directeur adjoint;UMR 5648,UMR 5648,UMR 5648,UMR 5648,UMR 5648,UMR 5648;Université Lumière Lyon 2,Université Jean Moulin Lyon 3,Ecole des Hautes Etudes en Sciences Sociales Paris,AVIGNON UNIVERSITE,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;LYON 2,LYON 3,EHESS PARIS,AU,CNRS,ENS LYON;UNIV,UNIV,AUT_ETAB,UNIV,EPST,AUT_ETAB;Université,Université,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR;0691775E,0692437Z,0753742K,0840685N,0753639Y,0694123G;19691775100014,19692437700282,19753742600011,19840685200204,18008901303720,13000812100019;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;201420876K;;;;;6;Sciences humaines et humanités;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412070A&PUBLIC=OK
