key,key_display_name,count,fr_share,total,year
https://openalex.org/I1294671590,French National Centre for Scientific Research,3300,24.93,13233,2010
https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,1061,8.01,13233,2010
https://openalex.org/I39804081,Sorbonne Université,504,3.8,13233,2010
https://openalex.org/I204730241,Université Paris Cité,451,3.4,13233,2010
https://openalex.org/I100532134,Claude Bernard University Lyon 1,424,3.2,13233,2010
https://openalex.org/I4210145102,Institut Polytechnique de Paris,406,3.06,13233,2010
https://openalex.org/I154526488,Inserm,353,2.66,13233,2010
https://openalex.org/I17866349,Université de Toulouse,339,2.56,13233,2010
https://openalex.org/I102475099,Supélec,338,2.55,13233,2010
https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,327,2.47,13233,2010
https://openalex.org/I2738703131,Atomic Energy and Alternative Energies Commission,294,2.22,13233,2010
https://openalex.org/I102197404,University of Paris-Sud,257,1.94,13233,2010
https://openalex.org/I899635006,Université Grenoble Alpes,251,1.89,13233,2010
https://openalex.org/I12356871,Télécom Paris,246,1.85,13233,2010
https://openalex.org/I4210124956,Grenoble Images Parole Signal Automatique,238,1.79,13233,2010
https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,194,1.46,13233,2010
https://openalex.org/I2279609970,University of Lille,192,1.45,13233,2010
https://openalex.org/I56067802,University of Rennes,189,1.42,13233,2010
https://openalex.org/I15057530,University of Bordeaux,181,1.36,13233,2010
https://openalex.org/I4210165912,Laboratoire Traitement et Communication de l’Information,171,1.29,13233,2010
https://openalex.org/I19894307,University of Montpellier,170,1.28,13233,2010
https://openalex.org/I106785703,Grenoble Institute of Technology,159,1.2,13233,2010
https://openalex.org/I205703379,Institut Mines-Télécom,157,1.18,13233,2010
https://openalex.org/I2802519937,Institut de Recherche en Informatique et Systèmes Aléatoires,157,1.18,13233,2010
https://openalex.org/I142476485,École Polytechnique,155,1.17,13233,2010
https://openalex.org/I190497903,Laboratory for Analysis and Architecture of Systems,153,1.15,13233,2010
https://openalex.org/I177483745,Joseph Fourier University,151,1.14,13233,2010
https://openalex.org/I19370010,Orange (France),151,1.14,13233,2010
https://openalex.org/I4210119061,Toulouse Institute of Computer Science Research,151,1.14,13233,2010
https://openalex.org/I2802759292,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,148,1.11,13233,2010
https://openalex.org/I4210139483,GREYC,144,1.08,13233,2010
https://openalex.org/I4210101743,"Montpellier Laboratory of Informatics, Robotics and Microelectronics",141,1.06,13233,2010
https://openalex.org/I68947357,University of Strasbourg,141,1.06,13233,2010
https://openalex.org/I2801658355,Office National d'Études et de Recherches Aérospatiales,139,1.05,13233,2010
https://openalex.org/I70768539,Mines Paris - PSL,136,1.02,13233,2010
https://openalex.org/I59807433,University of Lille Nord de France,129,0.97,13233,2010
https://openalex.org/I11559806,École Normale Supérieure Paris-Saclay,128,0.96,13233,2010
https://openalex.org/I4210110792,Research Center for Automatic Control of Nancy,128,0.96,13233,2010
https://openalex.org/I21491767,Aix-Marseille University,126,0.95,13233,2010
https://openalex.org/I32881790,University of Poitiers,118,0.89,13233,2010
https://openalex.org/I4210133778,Inria Rennes - Bretagne Atlantique Research Centre,116,0.87,13233,2010
https://openalex.org/I4210121838,Lorraine Research Laboratory in Computer Science and its Applications,109,0.82,13233,2010
https://openalex.org/I4210115485,Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur,104,0.78,13233,2010
https://openalex.org/I177064439,University of Burgundy,102,0.77,13233,2010
https://openalex.org/I48430043,Institut National des Sciences Appliquées de Lyon,101,0.76,13233,2010
https://openalex.org/I4210143894,"Laboratoire d'Automatique, Génie Informatique et Signal",100,0.75,13233,2010
https://openalex.org/I90843659,University of Franche-Comté,99,0.74,13233,2010
https://openalex.org/I102516824,University of Technology of Compiègne,98,0.74,13233,2010
https://openalex.org/I4210144804,Laboratoire de Recherche en Informatique,98,0.74,13233,2010
https://openalex.org/I97188460,Nantes Université,93,0.7,13233,2010
https://openalex.org/I4210126360,Inria Saclay - Île-de-France Research Centre,92,0.69,13233,2010
https://openalex.org/I4210142254,Laboratoire Bordelais de Recherche en Informatique,91,0.68,13233,2010
https://openalex.org/I201841394,Université Côte d'Azur,89,0.67,13233,2010
https://openalex.org/I4210091279,Université Sorbonne Paris Nord,89,0.67,13233,2010
https://openalex.org/I4210104430,Grenoble Computer Science Laboratory,87,0.65,13233,2010
https://openalex.org/I190752583,ParisTech,86,0.64,13233,2010
https://openalex.org/I4210085861,CEA LIST,85,0.64,13233,2010
https://openalex.org/I4210156583,Laboratoire d'Informatique de Paris-Nord,85,0.64,13233,2010
https://openalex.org/I110736937,Délégation Paris 5,84,0.63,13233,2010
https://openalex.org/I4647051,University of Picardie Jules Verne,84,0.63,13233,2010
https://openalex.org/I98702875,Université de Caen Normandie,84,0.63,13233,2010
https://openalex.org/I169645620,Institut Pascal,82,0.61,13233,2010
https://openalex.org/I4210092473,IEEE France section,80,0.6,13233,2010
