Site,"Part captée (H2020, Horizon Europe) (%)","Nombre de projets en IA (H2020, Horizon Europe)"
Sorbonne Université,3.3,36
Université Paris-Saclay,1.2,16
Université de Bordeaux,1.0,11
Université de Strasbourg,0.7,13
Université Paris sciences et lettres,0.7,2
Université Paris Cité,0.6,11
Nantes Université,0.6,6
CentraleSupélec,0.5,8
La Rochelle Université,0.3,7
Université Toulouse III - Paul Sabatier,0.3,13
Université Gustave Eiffel,0.3,6
Université Clermont Auvergne,0.3,4
Université Claude Bernard - Lyon 1,0.3,7
Université Bourgogne - Franche-Comté,0.3,8
Aix-Marseille Université,0.3,8
École normale supérieure de Lyon,0.3,2
Centrale Lyon,0.3,5
Conservatoire national des arts et métiers,0.2,3
Université de Lorraine,0.2,6
Bordeaux INP,0.2,9
